user_id,grade_id,role,coin,score,streak,days_since_last_study,vip_days_remaining,is_vip_active,unit_progress_percent,section_progress_percent,active_days_7d,active_days_14d,active_days_30d,lessons_completed_7d,lessons_completed_14d,lessons_completed_30d,questions_answered_7d,questions_answered_14d,questions_answered_30d,accuracy_7d,accuracy_14d,accuracy_30d,avg_attempt_count_7d,coins_earned_7d,coins_earned_30d,writing_eval_count_30d,speaking_eval_count_30d,avg_writing_ai_score_30d,avg_speaking_ai_score_30d,skip_item_quantity,listening_accuracy_30d,speaking_accuracy_30d,reading_accuracy_30d,writing_accuracy_30d,vocabulary_accuracy_30d,grammar_accuracy_30d,strong_skill,weak_skill,trend_label
18,10,ADMIN,531,2259,10,6,0,0,67.4,60.8,2,10,15,11,16,22,115,151,206,51.2,54.8,54.7,1.63,104,223,3,3,58.0,68.9,1,63.7,55.1,53.8,52.1,48.2,70.9,grammar,vocabulary,STABLE
19,7,USER,199,2187,7,0,0,0,47.7,36.2,2,9,16,7,17,25,77,121,176,65.2,68.1,69.0,1.51,87,264,2,1,60.3,83.8,0,71.6,79.5,67.4,60.5,69.7,72.9,speaking,writing,STABLE
20,5,USER,138,1604,9,3,0,0,69.6,85.0,3,6,9,4,10,15,28,47,126,56.6,54.0,57.3,1.54,44,142,3,1,51.9,83.1,0,54.3,74.8,53.4,48.7,64.5,60.1,speaking,writing,STABLE
21,9,USER,460,2076,9,6,0,0,70.0,66.5,3,10,17,11,21,31,42,120,212,55.0,50.8,54.3,1.26,106,314,1,3,51.8,59.6,0,45.5,66.0,58.7,42.2,61.5,42.0,speaking,grammar,STABLE
22,7,USER,730,2941,17,4,114,1,72.4,64.0,2,8,22,16,26,38,132,213,292,59.3,53.2,55.8,1.45,102,415,2,3,47.1,69.8,0,56.0,57.9,63.1,50.0,84.1,45.8,vocabulary,grammar,STABLE
23,9,USER,432,1964,12,2,0,0,66.1,62.5,4,6,13,8,12,24,44,118,220,60.9,62.7,67.7,1.59,53,277,1,2,37.8,74.4,1,54.0,79.1,56.4,41.1,69.6,58.4,speaking,writing,DECLINING
24,11,USER,227,2331,11,3,0,0,47.3,51.5,3,10,18,11,15,38,118,170,287,43.8,42.1,43.9,2.06,76,383,1,2,48.0,28.2,2,49.0,26.2,43.7,45.0,26.0,49.0,listening,vocabulary,STABLE
25,5,USER,749,2351,18,0,68,1,87.7,72.5,6,10,24,16,28,49,89,131,273,72.8,74.0,70.6,1.39,228,543,9,5,69.9,68.3,4,83.5,67.5,41.3,66.8,63.3,69.7,listening,reading,STABLE
26,11,USER,1017,1795,11,0,321,1,46.7,56.9,4,7,12,8,13,18,36,60,132,63.0,57.1,59.3,1.83,67,248,3,1,70.0,63.2,5,55.4,66.8,67.1,63.0,37.2,81.3,grammar,vocabulary,STABLE
27,6,USER,134,1793,16,0,0,0,47.0,34.8,3,8,13,7,14,23,45,71,201,58.4,56.2,52.0,1.76,61,244,3,0,39.7,0.0,1,61.9,45.9,55.8,38.7,53.0,55.1,listening,writing,IMPROVING
28,3,USER,183,2894,8,0,0,0,79.4,89.6,3,6,17,11,14,39,37,98,279,71.3,61.6,63.1,1.78,140,405,4,2,72.2,60.6,4,61.4,56.7,67.2,72.5,56.6,49.3,writing,grammar,IMPROVING
29,1,USER,129,1271,5,1,0,0,61.3,62.3,3,6,12,6,11,16,27,68,103,57.8,55.8,55.4,1.42,33,110,0,0,0.0,0.0,0,62.3,57.5,47.8,57.2,48.5,56.5,listening,reading,STABLE
30,10,USER,247,1525,10,5,14,1,25.1,23.4,4,6,11,7,9,16,46,73,119,54.2,52.7,47.6,1.84,48,157,0,1,0.0,61.3,2,47.0,49.8,46.2,39.4,50.7,56.4,grammar,writing,IMPROVING
31,4,USER,0,2177,12,2,0,0,61.3,65.7,2,12,16,7,21,30,53,117,234,60.0,56.9,57.8,1.63,71,339,2,1,65.1,78.5,3,56.1,66.2,61.5,57.4,45.9,77.1,grammar,vocabulary,STABLE
32,2,USER,0,1956,6,6,0,0,22.2,27.7,3,10,18,7,11,17,47,74,124,64.6,68.5,68.3,1.74,32,178,1,0,60.2,0.0,3,70.0,69.7,55.7,61.7,62.7,72.7,grammar,reading,STABLE
33,2,USER,17,1646,4,7,0,0,44.9,63.3,1,8,11,4,8,21,19,35,87,44.9,46.0,52.5,2.54,53,187,2,1,46.9,58.5,0,70.5,50.5,59.7,37.2,52.4,52.1,listening,writing,DECLINING
34,10,USER,219,1149,0,7,62,1,37.1,34.1,0,4,5,3,5,8,20,25,60,36.7,39.9,47.4,2.11,16,86,0,0,0.0,0.0,0,53.6,45.4,71.4,51.5,40.2,32.9,reading,grammar,DECLINING
35,6,USER,245,1776,16,4,0,0,42.8,65.9,4,7,14,7,10,18,61,81,127,57.3,61.3,61.0,2.34,58,202,1,2,61.2,73.0,0,50.3,70.0,46.3,57.3,77.4,58.4,vocabulary,reading,STABLE
36,8,ADMIN,255,1901,15,0,0,0,91.8,91.7,5,10,22,8,11,32,110,165,235,65.5,63.2,62.8,1.42,155,342,3,2,66.2,70.4,0,61.0,62.4,62.0,64.2,53.1,68.6,grammar,vocabulary,STABLE
37,8,USER,72,1104,5,6,0,0,38.8,50.6,2,2,5,1,2,6,9,18,45,63.7,63.1,61.3,1.68,25,67,1,0,61.6,0.0,0,72.1,66.0,50.3,62.3,58.9,62.2,listening,reading,STABLE
38,6,USER,263,1816,6,3,115,1,46.9,64.1,4,8,17,7,10,26,45,115,203,59.1,54.2,53.5,1.39,66,234,2,4,64.5,40.7,0,55.5,36.5,54.0,58.1,51.5,76.6,grammar,speaking,IMPROVING
39,3,USER,445,2389,26,6,0,0,53.9,68.2,4,11,20,11,14,30,66,103,248,76.8,71.2,66.4,1.8,130,297,1,4,79.4,85.4,0,54.4,69.7,64.7,77.6,65.3,69.6,writing,listening,IMPROVING
40,7,USER,306,1694,0,5,0,0,57.1,57.9,3,8,13,6,9,16,60,86,126,62.0,57.2,59.2,1.96,66,141,0,1,0.0,67.7,0,51.1,70.9,60.5,33.7,44.3,54.9,speaking,writing,STABLE
41,5,USER,245,1419,16,6,0,0,60.3,53.5,1,8,11,4,11,16,48,66,135,52.1,58.3,57.1,1.6,80,188,0,0,0.0,0.0,5,63.5,40.6,40.7,73.8,62.8,55.2,writing,speaking,STABLE
42,4,USER,644,1998,7,0,0,0,54.8,52.0,2,6,10,6,8,18,23,58,137,46.3,46.9,50.8,2.01,91,233,1,1,47.4,54.5,1,60.0,51.1,55.4,44.3,57.3,46.9,listening,writing,STABLE
43,5,USER,202,2159,23,0,18,1,86.1,76.0,6,8,17,10,20,30,49,130,270,70.8,75.2,71.5,1.41,79,329,4,0,48.4,0.0,4,84.9,69.0,51.0,47.2,62.7,56.9,listening,writing,STABLE
44,2,USER,0,1477,15,5,0,0,53.9,75.2,6,9,12,5,9,19,40,92,134,61.2,65.7,69.2,1.64,76,213,2,1,65.7,74.9,0,93.3,70.9,69.8,70.5,79.6,55.7,listening,grammar,DECLINING
45,5,USER,206,1781,6,5,0,0,41.6,52.8,4,5,11,6,13,22,28,76,141,65.4,63.8,54.8,1.34,104,229,1,2,35.8,41.4,0,67.5,52.2,35.0,27.4,46.0,42.5,listening,writing,IMPROVING
46,11,USER,698,2418,14,5,51,1,67.1,56.8,3,10,25,15,24,43,77,99,225,77.6,74.3,72.4,1.51,206,472,7,2,74.7,68.7,0,78.2,65.1,64.1,62.4,83.5,85.4,grammar,writing,STABLE
47,6,USER,345,2193,13,5,0,0,46.3,49.5,3,9,14,8,15,31,93,178,246,43.2,40.7,40.8,1.62,81,261,3,3,49.0,33.0,2,42.1,29.3,45.6,40.8,54.9,42.6,vocabulary,speaking,STABLE
48,9,USER,582,2842,21,0,0,0,96.2,100.0,5,13,19,8,18,44,130,174,338,80.1,81.3,77.8,1.35,165,472,1,4,98.6,90.4,1,73.6,76.3,81.9,90.1,62.1,74.5,writing,vocabulary,STABLE
49,8,USER,45,1141,7,6,0,0,55.1,74.5,2,2,4,2,3,5,9,15,37,59.1,59.3,58.8,1.74,11,32,0,0,0.0,0.0,0,52.8,66.8,64.5,60.4,50.3,71.2,grammar,vocabulary,STABLE
50,1,USER,424,1571,9,8,0,0,66.7,74.0,2,8,13,9,13,18,20,45,120,51.5,49.0,50.7,1.92,42,155,0,1,0.0,39.1,0,50.6,35.0,68.8,54.2,43.9,50.6,reading,speaking,STABLE
51,2,USER,123,2127,3,6,0,0,56.7,49.0,0,7,15,8,11,21,51,102,198,49.8,48.5,51.1,1.78,63,214,0,3,0.0,43.6,0,48.3,48.2,64.1,29.1,42.2,53.9,reading,writing,STABLE
52,4,USER,601,2381,18,5,180,1,84.3,100.0,4,10,18,15,20,31,102,156,289,67.6,60.4,62.2,1.56,93,387,2,4,55.6,76.5,0,58.0,65.1,67.8,56.2,84.1,47.8,vocabulary,grammar,IMPROVING
53,6,USER,263,813,8,63,0,0,60.8,56.9,0,0,0,0,0,0,1,2,5,47.5,49.0,50.8,1.67,0,0,1,0,50.3,0.0,4,48.7,56.4,40.9,46.3,45.5,65.0,grammar,reading,STABLE
54,9,USER,275,1872,14,5,0,0,52.6,55.5,4,9,18,6,10,27,75,113,171,52.6,50.2,47.9,1.88,53,261,0,0,0.0,0.0,0,51.5,51.5,41.5,55.7,42.1,69.2,grammar,reading,IMPROVING
55,10,USER,340,2071,14,4,203,1,32.6,33.7,3,10,19,11,19,26,36,89,173,69.7,69.4,69.8,1.97,117,272,1,1,73.7,75.3,2,71.2,74.6,41.3,75.5,61.9,76.7,grammar,reading,STABLE
56,6,USER,107,1615,2,6,0,0,52.1,70.4,3,6,9,4,9,18,57,104,153,51.5,48.6,53.3,1.79,85,202,0,2,0.0,50.7,0,42.9,54.1,56.0,60.0,50.5,52.9,writing,listening,STABLE
57,12,USER,452,1891,20,8,321,1,75.2,65.7,6,10,14,5,11,26,22,57,147,50.7,45.7,47.8,1.89,58,245,3,1,46.5,63.8,1,46.6,58.7,35.9,38.7,57.3,48.1,speaking,reading,STABLE
58,6,USER,312,3649,22,0,0,0,87.8,70.0,3,8,30,28,43,59,104,291,439,74.7,76.0,71.8,1.31,274,630,3,2,74.5,44.4,0,67.6,48.8,66.1,85.2,54.7,74.3,writing,speaking,STABLE
59,5,USER,456,2258,5,3,0,0,57.9,49.3,5,9,13,11,17,25,31,88,187,83.6,78.1,79.0,1.51,47,254,3,2,65.4,80.1,0,72.4,81.6,53.8,71.7,93.1,62.3,vocabulary,reading,IMPROVING
60,2,USER,470,1427,5,9,0,0,56.5,78.2,4,6,9,1,3,9,26,59,85,64.2,68.0,64.5,1.68,56,121,3,2,41.1,73.6,0,58.9,65.0,70.1,46.2,60.7,64.1,reading,writing,STABLE
61,10,USER,0,1071,0,9,99,1,13.9,0.0,4,5,7,2,4,7,11,19,41,65.6,68.6,67.2,1.93,22,66,2,0,68.5,0.0,0,59.2,57.8,65.0,72.5,68.4,67.4,writing,speaking,STABLE
62,5,USER,362,2095,5,4,0,0,56.3,46.7,3,10,12,3,9,16,12,27,77,50.5,62.6,65.8,2.17,45,141,1,0,89.1,0.0,3,56.9,66.3,64.0,83.5,70.9,60.1,writing,listening,DECLINING
63,7,USER,453,2575,13,0,0,0,92.2,91.3,4,10,23,16,26,43,86,150,380,65.3,65.7,61.8,1.8,186,465,1,7,76.3,63.1,5,74.0,57.3,59.2,66.6,60.5,60.8,listening,speaking,STABLE
64,9,ADMIN,658,3685,20,0,0,0,78.2,84.6,5,10,29,19,38,60,98,168,393,58.0,63.0,59.6,1.74,265,592,6,6,46.9,45.1,0,64.9,52.0,74.8,42.6,39.9,57.1,reading,vocabulary,STABLE
65,10,USER,171,2233,17,3,0,0,62.8,76.0,4,9,20,12,18,27,71,90,207,63.7,59.0,62.5,1.67,81,292,2,4,60.4,85.1,0,49.9,68.0,63.0,60.6,49.1,79.9,grammar,vocabulary,STABLE
66,11,USER,951,2910,14,0,195,1,71.1,86.7,5,11,22,14,30,48,83,124,333,45.2,50.6,56.7,2.14,228,519,1,2,57.4,61.3,0,60.0,62.3,57.3,54.6,42.7,67.9,grammar,vocabulary,DECLINING
67,2,USER,693,1992,18,1,138,1,74.8,74.2,6,11,19,5,13,30,29,75,188,66.5,67.8,61.5,1.83,64,336,3,5,58.5,45.8,4,79.5,46.3,59.1,56.3,68.5,63.5,listening,speaking,IMPROVING
68,1,USER,281,2737,14,4,0,0,88.8,98.7,3,12,28,11,16,44,58,105,258,76.8,73.4,72.1,1.74,132,449,4,3,68.8,100.0,5,66.5,96.6,63.6,69.2,60.8,46.8,speaking,grammar,STABLE
69,10,USER,776,1179,9,12,232,1,42.9,54.9,1,2,5,2,4,7,15,27,64,53.8,56.7,63.6,1.69,48,122,0,0,0.0,0.0,3,44.8,56.2,64.2,85.9,64.5,59.5,writing,listening,DECLINING
70,5,USER,0,1234,2,8,0,0,27.3,27.4,2,4,7,5,6,13,21,43,83,53.0,46.9,48.7,1.66,40,100,3,0,52.1,0.0,1,65.6,54.1,30.9,49.8,48.8,48.0,listening,reading,STABLE
71,6,USER,213,1989,29,0,0,0,73.1,82.8,5,9,23,10,14,26,64,91,236,63.3,65.1,62.2,1.74,113,315,6,3,49.4,66.9,0,63.0,62.8,55.8,59.7,67.5,69.2,grammar,reading,STABLE
72,10,USER,174,2456,6,4,0,0,55.8,56.2,3,6,10,6,8,21,53,93,210,70.4,63.8,67.4,1.41,110,235,0,2,0.0,91.4,1,64.7,84.6,62.1,61.2,69.5,69.2,speaking,writing,STABLE
73,5,USER,582,3964,21,1,162,1,82.9,92.2,7,12,30,15,25,60,103,210,457,66.5,71.4,64.8,1.9,300,661,8,6,78.7,57.6,0,58.4,64.6,77.4,79.0,57.4,63.7,writing,vocabulary,STABLE
74,8,USER,637,3463,12,2,0,0,62.4,59.3,2,9,26,15,24,59,142,265,421,52.5,57.4,60.7,1.88,201,582,3,6,57.9,40.5,2,83.4,42.9,56.7,58.3,62.2,56.8,listening,speaking,DECLINING
75,4,USER,367,2249,17,0,271,1,76.5,65.1,4,11,20,12,17,30,92,161,242,49.7,53.6,49.8,1.88,121,312,2,4,29.5,75.2,0,36.2,62.0,48.5,38.3,50.5,60.5,speaking,listening,STABLE
76,8,USER,209,3000,17,0,0,0,60.9,84.1,6,11,28,25,34,59,176,287,411,57.4,56.4,60.3,1.32,266,564,6,4,64.1,81.7,0,57.3,72.5,73.1,62.9,70.3,46.0,reading,grammar,STABLE
77,12,USER,573,1371,6,6,0,0,72.9,78.1,1,4,8,4,6,12,17,49,77,53.1,54.2,62.7,2.03,25,127,0,0,0.0,0.0,0,71.7,72.7,62.6,44.6,50.6,70.3,speaking,writing,DECLINING
78,4,USER,122,993,12,6,0,0,75.9,74.9,4,5,10,3,7,13,38,54,86,51.3,49.0,48.7,1.95,57,130,1,1,50.9,59.9,0,32.7,66.3,35.9,51.7,44.7,60.0,speaking,listening,STABLE
79,2,ADMIN,988,3546,26,4,75,1,85.4,100.0,4,9,25,24,36,55,114,176,361,70.5,68.7,68.3,1.58,218,614,6,5,84.2,62.3,2,59.9,70.1,74.8,77.4,91.9,65.5,vocabulary,listening,STABLE
80,9,USER,340,1859,13,0,0,0,65.2,85.4,4,10,13,4,8,21,47,104,158,44.0,50.8,58.5,2.05,44,209,0,4,0.0,58.1,0,52.3,59.6,64.7,47.3,57.7,62.7,reading,writing,DECLINING
81,2,USER,137,2709,17,4,0,0,82.9,82.0,6,9,18,20,25,36,146,184,297,57.8,55.2,51.7,1.94,131,354,1,2,49.5,68.4,1,46.7,62.5,34.8,50.7,63.5,41.7,vocabulary,reading,IMPROVING
82,8,USER,231,1634,8,4,0,0,45.4,37.7,4,5,10,8,10,23,21,57,152,55.9,53.4,50.7,1.85,78,210,1,3,36.8,68.2,0,48.8,60.5,51.3,45.2,66.0,43.4,vocabulary,grammar,IMPROVING
83,9,ADMIN,251,2612,7,1,0,0,38.7,38.3,3,7,16,8,13,35,77,101,272,76.8,82.4,77.7,1.25,174,420,4,0,77.5,0.0,0,85.3,93.6,88.3,71.6,62.7,94.0,grammar,vocabulary,STABLE
84,3,USER,129,441,2,11,0,0,44.8,33.2,0,1,2,1,1,2,2,6,12,37.7,44.7,43.6,1.92,0,0,0,1,0.0,50.3,0,46.1,46.9,59.9,50.0,46.6,20.0,reading,grammar,DECLINING
85,4,USER,440,2570,7,4,175,1,67.8,63.8,3,10,17,8,12,31,130,165,244,60.5,58.9,57.8,1.84,126,307,1,2,71.9,62.3,1,54.8,61.2,65.1,63.0,45.0,68.7,grammar,vocabulary,STABLE
86,4,USER,81,1688,12,6,0,0,40.6,73.3,3,7,13,12,17,23,38,69,165,47.9,42.6,44.5,1.82,67,243,0,0,0.0,0.0,4,45.2,55.6,51.9,35.7,36.1,52.0,speaking,writing,STABLE
87,6,USER,261,1759,5,2,0,0,34.2,53.5,3,7,18,13,20,27,32,79,159,46.8,46.8,46.4,1.74,74,226,0,0,0.0,0.0,0,60.1,47.3,46.1,68.1,37.6,54.6,writing,vocabulary,STABLE
88,2,USER,580,2631,19,3,0,0,70.4,84.2,6,13,23,7,18,42,123,192,268,63.9,59.9,59.4,1.46,142,402,6,5,74.2,56.5,1,56.0,51.8,46.9,67.0,55.3,58.5,writing,reading,IMPROVING
89,7,USER,212,1998,8,3,0,0,48.4,56.6,5,11,17,12,18,31,55,126,184,52.7,50.5,51.7,2.15,103,294,4,2,46.0,46.4,0,47.7,52.4,60.0,42.3,48.8,50.8,reading,writing,STABLE
90,9,USER,520,2631,6,0,0,0,75.0,71.7,4,11,17,9,22,36,151,210,312,63.1,51.9,52.2,1.67,152,330,1,4,66.2,60.2,0,53.7,55.2,55.2,58.8,71.9,22.3,vocabulary,grammar,IMPROVING
91,10,USER,459,2470,18,4,0,0,71.7,81.0,5,10,24,18,23,45,101,181,243,56.8,55.1,56.4,1.77,177,409,3,5,41.1,53.0,0,60.9,55.1,41.1,38.8,60.5,51.9,listening,writing,STABLE
92,10,USER,411,2096,14,4,0,0,81.0,94.6,2,6,18,7,9,21,21,47,131,68.5,71.3,75.0,1.46,93,216,1,0,67.0,0.0,0,55.8,67.6,73.6,64.2,83.4,70.9,vocabulary,listening,DECLINING
93,11,USER,225,2251,11,7,0,0,50.6,39.9,2,11,20,11,16,33,49,82,158,71.1,69.8,75.3,1.77,82,320,2,2,68.2,71.3,3,90.8,68.6,65.3,61.6,73.3,71.5,listening,writing,DECLINING
94,11,USER,393,1537,6,14,0,0,49.2,66.8,1,4,8,4,9,17,40,80,132,52.7,51.9,60.3,2.39,58,168,1,0,63.5,0.0,0,74.4,41.4,62.1,53.7,37.2,43.6,listening,vocabulary,DECLINING
95,11,USER,208,2095,9,1,0,0,72.4,55.0,4,10,16,9,17,27,20,56,118,59.6,56.9,61.6,1.41,116,247,2,1,59.3,55.0,0,66.0,51.8,90.0,50.8,61.2,51.0,reading,writing,STABLE
96,9,USER,203,1484,8,2,0,0,51.8,55.0,3,8,14,7,14,26,52,138,185,49.6,48.1,49.8,1.82,110,273,2,0,53.3,0.0,2,62.7,10.0,51.5,56.2,48.6,42.6,listening,speaking,STABLE
97,3,USER,215,2349,20,3,0,0,62.4,47.5,4,8,20,21,27,37,76,123,233,71.7,65.8,69.5,1.49,102,394,4,1,78.6,46.1,3,63.1,62.5,66.2,72.8,67.5,50.6,writing,grammar,STABLE
98,6,USER,1075,2387,15,5,348,1,90.0,97.0,3,10,19,6,14,31,64,119,199,70.5,72.1,72.4,1.55,70,362,1,1,53.5,79.4,0,64.7,67.6,75.2,52.6,73.1,76.1,grammar,writing,STABLE
99,10,ADMIN,546,1180,11,6,212,1,56.0,57.3,1,2,4,2,3,5,11,17,31,63.0,61.7,64.4,1.47,7,38,0,0,0.0,0.0,0,47.0,53.4,65.8,62.1,73.8,78.5,grammar,listening,STABLE
100,2,USER,617,1700,4,1,249,1,79.9,94.5,4,12,19,10,16,28,35,83,136,47.9,48.6,48.2,1.52,74,251,1,0,43.1,0.0,0,74.0,55.4,46.3,42.2,46.2,41.7,listening,grammar,STABLE
101,7,USER,35,1396,15,7,0,0,20.4,44.5,4,5,9,3,8,12,13,37,76,73.3,67.9,64.0,1.29,70,157,0,1,0.0,65.5,1,63.7,58.6,67.7,70.1,48.6,55.8,writing,vocabulary,IMPROVING
102,5,USER,198,1229,8,8,0,0,56.5,64.3,2,3,6,2,4,7,20,35,65,39.7,50.9,52.3,1.93,33,73,0,0,0.0,0.0,0,46.9,44.8,56.3,56.9,52.4,51.8,writing,speaking,DECLINING
103,7,ADMIN,289,2214,10,6,0,0,75.3,73.2,4,8,17,13,18,28,46,107,189,70.4,73.1,71.3,1.6,60,282,5,2,46.9,74.4,3,75.3,65.9,71.7,38.7,80.2,74.1,vocabulary,writing,STABLE
104,5,USER,0,1115,1,5,0,0,48.7,43.1,1,2,3,1,2,4,15,23,35,60.9,56.1,62.7,1.64,13,40,0,2,0.0,62.8,0,63.8,58.5,41.3,78.0,73.5,58.2,writing,reading,STABLE
105,11,USER,0,895,0,7,0,0,49.6,44.8,1,4,6,3,4,12,9,21,56,59.2,56.1,61.8,1.51,47,122,0,0,0.0,0.0,0,61.7,61.9,55.3,72.1,51.1,57.5,writing,vocabulary,STABLE
106,9,USER,525,2129,17,6,352,1,80.1,72.2,5,13,14,6,12,22,85,136,182,42.7,47.3,46.2,1.95,76,231,4,1,51.0,56.2,0,34.4,47.7,52.5,54.4,42.2,56.7,grammar,listening,STABLE
107,11,USER,382,3356,17,2,0,0,92.5,98.6,4,10,24,15,25,46,104,170,286,65.7,61.1,59.2,1.75,97,459,5,2,57.7,66.2,0,59.8,56.6,64.1,64.4,67.4,43.3,vocabulary,grammar,IMPROVING
108,5,USER,522,1919,8,8,0,0,37.3,38.9,3,12,15,12,16,30,61,89,202,55.6,59.3,57.9,1.84,60,270,1,5,55.2,81.2,3,48.5,78.3,38.5,54.5,54.9,41.7,speaking,reading,STABLE
109,1,USER,480,2019,13,3,0,0,62.6,76.9,3,8,18,8,12,26,58,135,206,68.9,62.0,56.5,1.68,62,283,2,0,59.2,0.0,1,59.8,52.5,59.8,56.8,53.4,38.8,listening,grammar,IMPROVING
110,5,USER,351,1994,15,3,0,0,66.3,64.2,3,10,18,9,20,29,96,129,266,40.8,49.0,51.0,1.91,129,289,0,4,0.0,66.7,1,60.3,69.7,48.6,59.5,38.2,64.1,speaking,vocabulary,DECLINING
111,9,USER,302,2467,19,0,0,0,99.2,88.1,4,12,18,11,14,41,54,148,326,53.9,52.9,54.7,1.94,190,414,2,1,73.7,55.2,0,69.4,51.0,69.4,59.2,41.5,49.9,listening,vocabulary,STABLE
112,10,USER,386,1710,11,2,0,0,39.0,28.1,4,8,15,15,20,33,35,57,161,43.2,48.1,42.1,2.36,99,283,0,5,0.0,47.3,0,21.5,40.5,47.7,36.2,50.0,58.4,grammar,listening,STABLE
113,10,USER,302,2392,20,5,0,0,100.0,98.6,5,14,27,12,33,45,58,147,244,74.5,68.2,64.1,1.63,81,437,1,6,64.3,54.4,1,72.3,55.4,60.6,72.9,54.9,65.2,writing,vocabulary,IMPROVING
